Date,Open,High,Low,Close,Adj Close,Volume
2024-02-02,46900.000000,49800.000000,46900.000000,48800.000000,48800.000000,334627
2024-02-05,48350.000000,48500.000000,46100.000000,46800.000000,46800.000000,337238
2024-02-06,46800.000000,46950.000000,45600.000000,46300.000000,46300.000000,139434
2024-02-07,46300.000000,49950.000000,46300.000000,47100.000000,47100.000000,448291
2024-02-08,47400.000000,48300.000000,47250.000000,47750.000000,47750.000000,239923
2024-02-13,48400.000000,49050.000000,48300.000000,48650.000000,48650.000000,171254
2024-02-14,47450.000000,48700.000000,46650.000000,48200.000000,48200.000000,233673
2024-02-15,49350.000000,51800.000000,48550.000000,49350.000000,49350.000000,389347
2024-02-16,49450.000000,50500.000000,48900.000000,49400.000000,49400.000000,206802
2024-02-19,49400.000000,50300.000000,48550.000000,48800.000000,48800.000000,160727
2024-02-20,48800.000000,49300.000000,47100.000000,47550.000000,47550.000000,203106
2024-02-21,47900.000000,47900.000000,46900.000000,47150.000000,47150.000000,145623
2024-02-22,47600.000000,47700.000000,46850.000000,47000.000000,47000.000000,98292
2024-02-23,47550.000000,47550.000000,46600.000000,46800.000000,46800.000000,121395
2024-02-26,47300.000000,47350.000000,46450.000000,46600.000000,46600.000000,85670
2024-02-27,46600.000000,47000.000000,46000.000000,46400.000000,46400.000000,110312
2024-02-28,46750.000000,46900.000000,45600.000000,45650.000000,45650.000000,157635
2024-02-29,45400.000000,45750.000000,44050.000000,44050.000000,44050.000000,248720
2024-03-04,44950.000000,45350.000000,44150.000000,44150.000000,44150.000000,124627
2024-03-05,43900.000000,44450.000000,42300.000000,42550.000000,42550.000000,247999
2024-03-06,41250.000000,41800.000000,39550.000000,40150.000000,40150.000000,3668299
2024-03-07,39850.000000,40700.000000,39400.000000,40300.000000,40300.000000,261763
2024-03-08,40850.000000,41600.000000,40450.000000,40850.000000,40850.000000,292034
2024-03-11,40500.000000,41300.000000,39900.000000,41000.000000,41000.000000,174188
2024-03-12,41000.000000,41500.000000,40250.000000,41100.000000,41100.000000,194168
2024-03-13,41500.000000,41500.000000,40400.000000,40700.000000,40700.000000,193718
2024-03-14,40750.000000,41550.000000,40700.000000,41450.000000,41450.000000,422321
2024-03-15,41200.000000,41200.000000,39800.000000,39950.000000,39950.000000,331133
2024-03-18,40100.000000,40300.000000,39550.000000,39650.000000,39650.000000,168304
2024-03-19,39350.000000,39600.000000,38350.000000,38500.000000,38500.000000,347840
2024-03-20,38900.000000,39050.000000,38050.000000,38500.000000,38500.000000,261696
2024-03-21,39250.000000,39800.000000,39100.000000,39500.000000,39500.000000,287646
