Open,High,Low,Close,Adj Close,Volume
70900,71000,69800,69800,69109.67188,13035420
70100,71200,70000,71100,70396.82031,12299254
70700,71000,69800,69900,69208.67969,13835020
69900,70200,68500,68800,68119.5625,20087090
68800,69100,68200,68300,67624.50781,12360193
67700,69200,67600,68500,67822.53125,10968505
69000,69100,67400,67600,66931.42969,14664709
68000,69600,67900,68900,68218.57813,17259673
68300,68500,67800,68000,67327.47656,10227311
68400,68800,67500,67500,66832.42188,9781038
67500,67900,66900,67300,66634.39844,9352343
66700,67100,66300,67000,66337.36719,13174578
66300,66800,66000,66700,66040.33594,10778652
66000,66700,65800,66300,65644.28906,11745006
66600,67100,66300,66600,65941.32031,9720067
67200,67700,66300,66600,65941.32031,10500242
66700,67100,66400,67100,66436.38281,9549352
68300,68700,67900,68200,67525.5,15044463
67100,67400,66900,67100,66436.38281,7032462
66800,67000,66500,66800,66139.35156,5824628
66900,67200,66600,66800,66139.35156,9114352
67300,67700,67100,67100,66436.38281,9181223
67100,67200,66400,66900,66238.35156,15964630
66800,71000,66700,71000,70297.80469,29738235
72900,72900,70700,71200,70495.82813,26286495
70900,71500,70200,70700,70000.77344,12330239
70700,70800,69700,70000,69307.69531,11414620
70000,70600,69600,70400,69703.74219,13741241
70200,70300,69600,70300,69604.72656,10688118
70400,70800,70000,70800,70099.78906,11785462
70800,71000,70400,70500,69802.75781,11688599
71100,71600,70300,70900,70198.78906,15955797
71200,71800,70800,71700,70990.88281,21041407
71700,72300,71400,72000,71287.92188,17823512
71300,71700,70200,70200,69505.71094,16040727
70400,70800,69600,69800,69109.67188,11820188
70000,70300,69500,69600,68911.64844,10873015
69200,69800,68800,68900,68218.57813,10796336
68300,68900,68300,68800,68119.5625,9897840
68500,69700,68500,69400,68713.63281,13582516
70000,70000,68400,68600,68276.70313,13143470
68600,69100,68200,68400,68077.64063,14886491
67400,67700,66700,67500,67181.88281,23361149
67300,67400,66700,66700,66385.65625,16108313
67100,67300,66000,66000,65688.95313,14386527
66200,67600,66200,66400,66087.07031,19889202
68600,69400,67900,68200,67878.58594,25209349
68600,69700,68200,68900,68575.28906,19311380
68000,68500,67700,68000,67679.53125,9724086
67900,68500,66800,67300,66982.82813,12599299
67700,69900,67400,69400,69072.92969,17299253
68900,70500,68800,70500,70167.75,16493184
69700,70000,69400,69500,69172.46094,13985012
68900,69200,68100,68800,68475.75781,15204495
68700,69100,68200,68400,68077.64063,11625959
68700,68800,67700,68500,68177.17188,12791710
68800,68800,67900,68000,67679.53125,10610703
67000,67900,66700,66700,66385.65625,15517624
67100,67300,66700,67300,66982.82813,11334726
66800,67800,66700,67300,66982.82813,10139270
67600,68300,66900,66900,66584.71094,14488892
67500,68900,67300,68600,68276.70313,13775256
70000,70000,69400,69700,69371.51563,16350031
69700,70200,69500,69600,69271.98438,10322234
69800,70900,69300,70900,70565.85938,22228489
70600,70900,70000,70900,70565.85938,17228731
71300,71400,69700,69900,69570.57031,12901310
69900,70800,69600,70300,69968.6875,12301373
70000,70500,69500,70500,70167.75,9684347
71300,71300,70300,70400,70068.21875,9246919
71000,71100,70600,70800,70466.33594,9567984
71600,72200,71500,72200,71859.73438,20148677
72500,73000,72300,72800,72456.90625,15860451
72300,73000,72300,72500,72158.32031,11494644
72100,73000,72100,72700,72357.375,10610157
73100,73400,72700,72800,72456.90625,9712881
72200,73000,71900,72800,72456.90625,11105143
73000,73200,72200,72400,72058.78906,6775614
72400,72600,71700,71700,71362.09375,6676685
71500,72100,71100,71300,70963.97656,9113857
71400,72700,71300,72700,72357.375,13283081
72400,72800,72200,72700,72357.375,9283933
72700,72800,72200,72800,72456.90625,15783714
72400,72500,71700,72000,71660.67969,9871284
72800,72900,72400,72600,72257.85156,10229267
72300,72400,71200,71200,70864.44531,12129682
71800,72100,71600,71700,71362.09375,8123087
71800,71900,71100,71500,71163.03125,8862017
72100,72800,71900,72600,72257.85156,10859463
72800,73000,72200,73000,72655.96094,9861960
73300,73500,73100,73500,73153.60938,13758646
73300,73500,72800,72800,72456.90625,13116766
74100,74300,72500,73100,72755.49219,27567593
73800,74000,73200,73300,72954.54688,15419815
73300,73400,72800,72900,72556.4375,9690551
73000,73400,72800,73400,73054.07813,8907632
74200,74900,73800,74800,74447.48438,16870156
74600,75000,74300,75000,74646.53906,13478766
75800,76300,75400,75900,75542.29688,14515608
76100,76700,75700,76600,76239,13164909
76700,78000,76500,78000,78000,20651042
77700,78500,77500,78500,78500,17797536
78200,79800,78200,79600,79600,17142847
78500,78800,77000,77000,77000,21753644
76100,77300,76100,76600,76600,15324439
76700,77100,76400,76600,76600,11304316
77000,77500,76400,76500,76500,11088724
77400,77700,74300,74700,74700,26019249
75000,75200,73200,73600,73600,20259529
72900,73600,72700,73200,73200,57691266
73000,74100,72800,73100,73100,13038939
73200,74000,73200,73900,73900,2957915
73500,73700,72500,72600,72600,14760415
73100,73300,71000,71000,71000,22683660
71600,72000,70700,71700,71700,17853397
73500,74700,73000,74700,74700,23363427
75900,76000,75000,75100,75100,19673375
75700,75800,74300,75200,75200,14786224
75200,75200,73500,74000,74000,12860661
74200,74800,73700,74100,74100,11737747
73700,74500,73300,73400,73400,11160062
73800,75200,73500,74400,74400,13976521
75000,75300,73700,74300,74300,12244418
73400,74000,72500,72700,72700,15703560
73000,74200,72900,73600,73600,19881033
74000,75200,73700,75200,75200,14955881
74200,74800,73500,74300,74300,19026021
74300,74700,73300,74400,74400,14559254
74600,75500,74300,75000,75000,16566445
75000,75200,73600,74100,74100,20810708
74800,75200,74400,75200,75200,21966745
73700,74300,73700,74000,74000,12434945
74200,74400,73000,73200,73200,14120600
73300,73400,72500,72800,72800,13444781
72800,73900,72800,73800,73800,12726404
73700,73700,72800,73300,73300,14681477
73400,73700,72900,73000,73000,11503495
73800,73900,72700,73100,73100,15208934
73600,74200,72900,72900,72900,16225166
72300,73200,72200,72800,72800,14669352
73100,73400,72700,72900,72900,13201981
72900,73900,72800,73200,73200,11795859
72600,73400,72000,73400,73400,21176403
74300,75000,74000,74900,74900,23210474
74600,74800,73700,73700,73700,19505125
73200,73500,72700,72900,72900,21547905
73100,73300,72200,72200,72200,14516963
72800,73400,72600,73300,73300,19271349
72900,73100,72300,72400,72400,9740504
72600,73500,72100,73300,73300,13011654
73700,74100,73500,74100,74100,15243134
74400,74500,73600,74300,74300,22545539
73400,73700,72300,72300,72300,22580555
72600,73000,72500,72800,72800,11520348
72300,73000,71700,72800,72800,15376066
73700,77200,73400,76900,76900,50106297
79200,79300,77700,79300,79300,44569799
79600,79900,77800,78900,78900,26724761
79600,79800,77800,78200,78200,18703996
79700,80100,79200,79900,79900,30551494
79200,80000,79200,79800,79800,17424595
79400,81000,79200,80800,80800,25084812
81200,82500,80900,82400,82400,27126366
83200,83300,82000,82000,82000,20116513
82900,85000,82900,85000,85000,37077944
84300,85000,83500,84100,84100,30493347
85200,85500,84300,85300,85300,25248934
84500,85000,83800,84500,84500,18883752
85200,86000,84500,84500,84500,18953232
84500,84900,83100,83600,83600,23725956
83200,84700,82500,84100,84100,25538009
84700,84900,83200,83700,83700,17061770
82900,83200,81200,82200,82200,26663772
81200,81300,79400,80000,80000,31949845
80700,80800,78900,78900,78900,22611631
78800,80100,78300,79600,79600,21370190
78300,78700,76300,77600,77600,31317563
77400,77500,75100,76100,76100,30469477
76400,76800,75500,75500,75500,18717699
77500,78800,77200,78600,78600,22166150
77300,77500,76300,76300,76300,15549134
77800,77900,76500,76700,76700,12755629
77400,77600,76200,76700,76700,14664474
77000,78500,76600,77500,77500,19007007
77600,78600,77300,78000,78000,18900640
79000,79000,77500,77700,77700,12165808
